HarressarGender,Major,Institution,Experience
male,social&humanities,Other Type of School,"Senior professor in the department hosted a party for grad students at his house. At the end of the night, my friend was the last to leave and intoxicated. The professor threw himself at my friend, promised to be his sugar daddy, and made exoticizing, racially based comments regarding his appearance. This was during the time in which faculty were assessing our (MA student) applications to continue in the PhD program, allot funding, etc. My friend eventually pushed him off and escaped to his car to sober up. "
male,social&humanities,Small Liberal Arts College,"Approached by a very senior academic at the faculty Christmas party. ""You are the most beautiful woman here, but why are you wearing that fucking ugly dress"". Proceeded to tell me about his sexual problems with his wife. Told me that if I wanted to be sure to pass my PhD I should just ""fuck him"" (gestures to my another senior academic). "
female,applied&formal,Other R1,"At a small dinner party that took place at a graduate student house (where this tenured professor was living for the summer), the tenured professor and I (a graduate student) got into a discussion about Gramsci. I told the professor I thought he was wrong; he called me a ""fucking skank"" twice. After the second time I told him not to say it again or I would throw a glass of wine in his face. He called me a ""fucking skank"" again. I threw the wine in his face. I was asked to leave the party. He remained with the other guests (all men). This was the summer of 2011.This professor has also raped a woman who was an undergraduate at our institution."
male,applied&formal,Other R1,"Touching repeatedly, hugs, constant comments on my appearance, constant comments about how much he cared about me. Early 2000s."
male,social&humanities,R2,"A friend would get drunk and send texts that I should go home with him, on a regular basis. I had slept with him once, and decided that I didn't want to again, and told him to stop. He only stopped when I got a boyfriend. This harasser went on to groom one of his undergraduate students. She said that he inspired her to join the grad program and, when she did, at first he sent her explicit and flirtatious messages, then told her that he wasn't interested in her."
NotAvailable,NotAvailable,NotAvailable,"A TA had me switched into his section because he thought I was ""foxy."" He treated me differently than the other students all semester. Everyone assumed we were sleeping together and that was why I was doing well in the class. "
male,social&humanities,Other R1,"After returning to campus from a Board Meeting for a reform model run by the university our of my department, the Dean Emeritus and I were in a kitchenette - he preparing coffee and I grabbing milk for my own beverage. We starting talking about the meeting and he described it as being a ""circle jerk."" I had to stand there listening to him continue to share his thoughts about the board and our meeting because I was in my first year on the faculty and he held a lot of power not only in the university, but within the field more broadly across the nation. A few days later, I was with two other junior faculty - both women, both of whom had previously warned me that the dean tended to stare at chests and make inappropriate remarks to women. I shared what had happened and one of the colleagues asked me why I felt uncomfortable - she clarified that she didn't know what a circle jerk was. When I told her it was something that happens in some porn (rather than actually describing the act), she immediately asked why I even knew what it was. "
male,social&humanities,Elite Institution/Ivy League,"I was stalked and harassed by a faculty member throughout my entire last semester as an undergrad in 2011 as I was preparing to enroll in grad school and pursue an academic career. He figured out what bars I went to, when/where my classes were, what activities I was involved in, and where I lived off campus and followed me around. He would leer at me and brush against me ""accidentally"" and say inappropriate things to me me, but only when no one else was around (so I just stopped going out of the house alone). He would also send me emails complimenting my work and trying to engage me in conversation/figure out ways to get me alone but never said anything explicitly inappropriate there. "
male,social&humanities,Other R1,Involuntary Inappropriate touching inPublic place
male,social&humanities,Elite Institution/Ivy League,"During the first semester of my MA program, a second year MA student asked me to go on a date. I turned him down, and he threatened to ruin my career. He didn't succeed but it created an uncomfortable environment for the year we overlapped in the program. "
male,classics,Other R1,"A member of my dissertation committee, while giving me advice on how to conduct oral histories, commented that I probably had an easier time getting people to talk since I was an attractive young woman. I didn't know how to respond. He is still an important person on my committee, and despite his difficult, occasionally bullying personality, I feel I have to keep working with him."
male,NotAvailable,Elite Institution/Ivy League,"In the fall 2014 semester, my TA for my general chemistry lab was...a little handsy. Benign high fives became lingering shoulder pats to resting his hand on the small of my back or on my thigh. I never said anything in protest, even though he was making me incredibly uncomfortable, because he had a hot temper but was helping me a lot in the class."
male,social&humanities,Other R1,"During the visit of the prospective graduate students, one of male prospectives, who was not a native English speaker, made lewd comments over drinks in his language about one of our current female graduate students to one of our current male graduate students. However, the current male student reported it to the faculty, and the faculty acted appropriately."
male,social&humanities,Small Liberal Arts College,"As a first year graduate student, an older graduate student in various positions of power sent me several pictures of his genitalia."
male,social&humanities,Elite Institution/Ivy League,"The professor for a doctoral seminar I took asked me to meet in his office hours to discuss my seminar paper. The subject quickly turned to his divorce, what neighborhood I lived in, whether I was single, if I went to a Catholic high school that had ""sexy"" uniforms, etc. I was totally uncomfortable and did not attend the rest of the semester but did turn in my seminar paper. He gave me an A+ but the comments on the paper were that he hadn't actually read it but wanted to discuss it over drinks sometime. I just ignored it and hoped he wouldn't bother me again or change my grade in retaliation. "
male,social&humanities,Other R1,"Mine happened at an academic conference. I was a grad student hoping to network, I met a colleague of a friend, a recent graduate who had landed a tenure-track job. We chatted, he introduced me to people higher up in my field (funny enough, people I hadn't approached before because I was warned they were sexual predators thus to be careful). All happening at the bar, where people mingle at conferences. I feel safe with this person as a buffer and I assume things won't get weird since we both mentioned our significant others.Things did get weird. At the end of the evening when going to the elevators, after what I thought was a fun platonic evening of chatting with colleagues, he aggressively starts making out with me. I try to disengage but it will take me about 10-15 minutes for me to convince him to go to his room. I woke up confused and with bruises. When the next day I told him he had misunderstood my intent, he got angry and said ""well it sounds like you're saying I assaulted you, but you were drunk (I had drank moderately) and were flirting all night (I wasn't)."" I'm ashamed to say I believed him rather than face the fact my one successful networking achievement had actually assaulted me. The ""flirting"" continued periodically for a few years at various conferences, continuing to confuse me. "
male,social&humanities,Elite Institution/Ivy League,"Inappropriate touching, not sexual, but unwanted touching during a chemistry lab while I had my hands in a fumehood holding something I couldn't let go of so I couldn't shrug him off.About a year later the same professor pulled me outside of a classroom coercing me to leave my lab research group and join his. When I refused he threatened my standing in my lab and future in science (he has a lot of pull in our community), telling me I would regret my decision.I specifically never went to his office hours and never found myself in the building alone when I knew he was there because he had been known to ask female students for blow jobs in his office and touch female students inappropriately."
male,natural,Other Type of School,"2007: PI had a vasectomy, scratched himself unapologetically during our meeting; same PI had a 1 on 1 lecture with me and layed on the table in front of me as he spoke; same PI would answer his phone in the bathroom and not allow me to end the conversation; same PI hired only women, specifically blond undergraduates to work in the lab, despite their lack of abilities2014: PI asked me if another faculty was menstruating and if that was the reason she was ""crazy""; told me I could not work on a project because I was child-bearing age (it involved hazardous chemicals); said that I could handle the kind of talk like guys talk at ""the camp""; said that my marriage wouldn't make a long distance career move"
male,classics,Other R1,"I was the 2nd female professor in my department to get bullied and intimidated by the same male--for me it lasted 8 years, until I quit. Although not sexual in nature, I have no doubts this occurred because we were women. Case is point, this person once told me a female student could not have PTSD because of rape: ""It's not war,"" he said. This male professor clearly has a problem with women."
male,social&humanities,Elite Institution/Ivy League,"There's a retired English professor at my church. He's in choir with me. Wanted to talk to me a lot because he heard I was a PhD student. Asked me to go with him to the symphony. I initially assented, but something didn't feel right, so I canceled. Later, upon hearing that it was my birthday, he blocked my way out of the choir loft, so that he could hug me for far too long, and make a very strange comment about my age. I joked about it on facebook. My priest saw and told me that I should report it to her; she said that he had been kicked out of a church across town for similarly inappropriate behavior. After I spoke with her, he didn't grab me, but he would do things like block my way out of the choir loft when we went down for communion."
male,social&humanities,Other R1,"I was at an international conference and a famous scholar from an Ivy League seminary greeted me and a (Catholic priest) colleague one morning at the conference with the words, ""I see you together at night, I see you together in the morning. People are going to talk."" The same famous Ivy League seminary professor used my body to demonstrate his impressive brilliance: he wanted to show a group of us the parallels between two stained-glass windows, so he grabbed my upper arms, turned me bodily against his arm to point me toward one window, then turned me bodily toward his other arm to see the other window. "
male,social&humanities,Other Research Agency,"After a campus event, we were all standing around and I was looked up and down and asked if I was ""wearing a bra"" (diffusing giggle) -- it completely caught me off guard."
male,natural,Other Type of School,"Multiple incidents of professors evaluating female (but not male) professors in class evaluations based on their personality, their level of illness, their period (or lack thereof), and the clothing they wore. I was not in the class, but heard of the evaluations through multiple sources. "
NotAvailable,NotAvailable,NotAvailable,"A senior scholar whose work I greatly admired and who was like a grandfather mentor to me and my research team colleagues visited our campus. He was in his early 80's at the time, I was in my late 20's. The head of our research team, my mentor, hosted a dinner party for him with the students, and we enjoyed great food and liquor as we had very very profound theoretical conversation. I was asked by my then mentor to drive him back to his hotel and when we arrived, he invited me up to his room for another drink and to talk about my work (so I thought). We got up there, he indicated I should sit on the two-seat couch and he made me a drink and sat next to me on the couch although there was another chair. He then said, ""I want you to kiss me."" I was so shocked and I wasn't fully processing what he was really doing. I didn't know what to do and he started moving towards me, so I compromised and gave him a quick kiss on the cheek (like in Latino culture), as I stood up, grabbed my coat, and headed for the door. I got out of there as quickly as I could. I called my mentor and told her what happened. She said, ""Damn, we thought because you were [my racial identity] that he wouldn't come on to you. Guess not."" She knew he did this. He had done it to all the other women on the research team. I had no idea. "
male,natural,R2,"Was invited to a professor_—Ès house to spend time on a boat. Was pressured to smoke weed, comments were made about me and a fellow graduate student being gay."
male,social&humanities,Small Liberal Arts College,"On the way to a talk at another University, my adviser started acting inappropriately to me, asking for intimate personal details and sharing his own. This behavior continued the entire trip. After that, anytime we were alone on campus he would switch from his professional persona into a deeply intimate one, despite my efforts to keep things professional. At first, I let him share, I was early in my graduate career and knew many students were close with their committee members. However, he continued to share emotional and sexual things about himself unprompted. He became volatile, and I never knew whether I was going to encounter my adviser (who at first only been professionally supportive before the trip) or this emotionally expletive and unstable person. There was no physical harassment ever made, but he would not treat me as a student. This behavior continued until I was forced to bring it up with my chair. I was the only one who'd reported my adviser's behavior (I still don't know if he treated others like this) so at first I was told to simply speak with him myself and set boundaries. This did not work and resulted in an emotional outburst. It was then I went to a female faculty member who was unattached to my project (my entire committee was at that time male), she helped me push for my adviser to withdraw from my committee and mentoring role. This finally worked, but I could tell my committee was unhappy with me as they were close colleagues of his. "
male,social&humanities,Other R1,"It happened six years ago, when I was a graduate student. A tenured faculty member in my department, who was (and still is) married and around 25 years my senior, put his hand on my thigh, told me he was very attracted to me, and wanted to know if I felt the same way. I firmly said _—“no,_—ù and that our relationship had to remain professional. He did not pursue me after that."
male,social&humanities,Elite Institution/Ivy League,"When I was a graduate student during my first year, the advisor that the department assigned to me to help me adjust to a new environment (as an international student) would always close his office door whenever we had an _—“appointment._—ù On every single occasion, he would tell lewd tales about many of his former female students offering to perform oral sex on him for better grades or _—“small_—ù favors. Each time he made me feel very uneasy, but I was new and relatively unfamiliar with academia in the U.S. I felt relieved when he retired."
male,social&humanities,Other R1,"I was in a very competitive program with five other people in my cohort. One person in the group was very aggressive toward the rest of us because he thought it could give him an edge. He tried to systematically discourage all of us in different ways. For some, he pretended to give advice on what this or that professor liked to see in student presentations; it was of course the opposite of what the professor really wanted to see. For others (one woman in particular) it was making constant disparaging comments regarding her intellect; for me it was sexual aggression. He would slap my rear very hard in public and lick my face out of the blue. He also would call me late at night and talk about intimate matters. He asked me to help him set up his internet dating profile (which I actually did--this was before the real aggressive behavior started and I thought I was helping a friend.)"
male,social&humanities,Other R1,"Where to start. A professor telling me I looked ""sexy""? Another professor ogling me? Yet another professor telling me I was giving him ""impure"" thoughts? The worst, however, was when a friend of mine was suing the university. She claimed that the university was protecting one of the above professors for sexually harassing and sexually assaulting her. My advisor expressed exasperation. Wanted to know why my friend was pursuing the suit when everyone in the department offered to advise her so she never had to deal with him again. I said, ""Well, what about all the female students that come after her? What will happen to them?"" My advisor said she hadn't thought about that. Perhaps the solution was that he could just not advise female students. Then I said, ""Ok, so no female student can ever come to our university to study his area of expertise? Is that fair?"" She said well, she hadn't thought of that either, but still, my friend should not be suing. THis made me realize that no one, not even my own advisor, would have my back if anything happened. "
male,social&humanities,Other R1,"I was stalked, police involved and my family. Went on for several years."
male,social&humanities,Other R1,"Was told by professor I was TAing for ""if we were at Yale, we'd be fucking by now."""
male,social&humanities,R2,"While a graduate student, I (and my peers) frequently had the opportunity to drive visiting writers to and from campus engagements and one night, I was driving a male writer about twice my age back to his hotel. We had an animated conversation about writing while I drove, and I walked him into the hotel to conclude it. I offered him a hug goodbye, and before I knew what was happening, his thick, hot tongue was thrusting into my mouth. I fled, and he apologized by text, and said that he'd leave a gift at the hotel desk--it was his own novel. "
male,NotAvailable,Other R1,My professor/advisor/thesis chair asked me to kiss him
male,social&humanities,R2,Senior women were completely marginalized
male,social&humanities,Elite Institution/Ivy League,"I was a lecturer in my second year at a university. My peer colleagues (all male) regularly complained about having to teach one night class every semester. Somehow I was never assigned night classes to teach, which we also discussed. I thought I was just lucky. Then came a standard meeting with our departmental administrator, when I asked him why everyone teaches night classes but me. He answered, calmly and as if this were obvious, _—“oh, I don_—Èt give night classes to women. It_—Ès not safe for them to be on campus at night._—ù I stared at him, shocked, and told him that was ridiculous and discriminatory and demanded to be assigned a night class for the following semester. He shrugged and did assign me night classes after that, relieving some pressure on my male colleagues. They were right that night classes are tough to teach, and the admin was wrong that women shouldn_—Èt be on campus at night. "
male,social&humanities,Other R1,"Summer 2014 at a two-week workshop for grad students working on [a specific period / subtopic of history], with approx ten grad students (equal numbers of m and f) and multiple faculty presenters / mentors (of which approx 85% male). One day, the students decided to get happy hour beers, we invited the faculty who were around that day. I invited one of them, I just happened to see him. He bought me a beer (like fine, he gets paid at a fancy school, I am a student), after a while and much staring at me he kinda cornered me and suggested we go back to his hotel. I didn't really answer, and kinda walked off, and the someone else came over. The guy them announced he was leaving and left. About fifteen mins later he came back and gave us all his card, and he told me he'd been waiting outside because i was going to follow him. He left again. I didn't leave but told some of the other women, we left all together at some point. He was gone the next day, but then emailed the administrator of the workshop to get my email address, sent me a semi creepy email and then mailed a copy of his book, signed with a personal message to my department. I left the book on my stoop. "
male,social&humanities,NotAvailable,"A professor made continual sexist and homophobic comments to masters & doctoral students throughout the semester. He noted that he has _—“a hard time_—ù seeing two men kiss because it_—Ès _—“like pouring ketchup on cereal. It doesn_—Èt belong._—ù Made a number of other comments about gender, people who get _—“sex changes,_—ù and noted that serial killers who target prostituted women are brilliant because _—“no one cares about prostitutes._—ù He also said he would rather go to a concentration camp than watch Bravo television with his wife. There were other comments, too. This is just a glympse. "
male,social&humanities,Other R1,I was stalked by a fellow graduate student for two years while in graduate school.
male,social&humanities,Other R1,"I was almost raped by a fellow student, but a random person came along at the last minute and interrupted/stopped it. Oct 1979, Rice University, under some trees along the main road through campus. The student who tried to rape me was a walking buddy, the person who had volunteered to walk me safely across campus at night. These walk with a buddy patrols were set up after a young woman was found raped and murdered near campus."
male,social&humanities,R2,"In my first week of grad school, I was told by other female students/ faculty that the advisor I was assigned to was a white guy who was had slept with and then married his much younger female student (who he was still married to) and to be a creep who harassed femme students. I transferred my advisorship immediately and avoided him throughout the (fairly small) program. He had tenure and was one of the oldest and most secure faculty members in the department."
male,natural,Other R1,"Rockstar professor in cultural studies was known to do drugs with and fuck female students, frequently went out drinking with us after meetings, was know to have abused his ex wife. He was involved in our student/ faculty of color anti-racist campus organizing and the only South Asian, radical male prof. No one that I know of, including feminist of color profs, confronted him- I'm guessing they either didn't know or felt like we ""needed the support"". He didn't hit on me but he did on other young women of color students I was close to. This was in the late 90s"
male,applied&formal,R2,"Inappropriate conversation--colleague getting too close and using the metaphor of someone cumming all over his work, multiple times, as a description for this professor being impressed. It was repeated in really uncomfortable ways. "
male,social&humanities,"More Than One Institution (feel free to elaborate in ""Comments"")",Spring 2016
male,social&humanities,Other R1,"MFA department chair would take out students to get shitfaced, then make out with us one by one. We all knew he was married and had cheated on his wife multiple times. "
male,social&humanities,Other R1,2009 _—– 2015
male,social&humanities,Elite Institution/Ivy League,inappropriate attention and commentary
male,social&humanities,Small Liberal Arts College,Raped during my PhD program
male,social&humanities,Small Liberal Arts College,I was systematically sexually harassed and silenced pretty much consistently from teh time I was undergraduate until now
male,social&humanities,Small Liberal Arts College,"Bullied by my older male supervisor, mocking me, yelling at me, glaring at me over months-long period"
male,social&humanities,Elite Institution/Ivy League,My academic professor and advisor admitted he'd fallen in love with and pursued me romantically and sexually. 
male,NotAvailable,Elite Institution/Ivy League,"When I was in my MFA program, my mentor, who I babysat for regularly, made explicit sexual comments about me both to a close male friend of mine and to an entire class of graduate students that I was not present in. I heard about those comments later from multiple sources - both those who came to me directly and told me about the comments and their graphic nature, and in whispered gossip that traveled through my MFA program like wildfire. "
male,social&humanities,Small Liberal Arts College,"While in my surgical training, an attending physician broke a valuable instrument. I was called into the department chief who accused me of breaking it. I said I had not. He replied, _—“Well, you were the only woman there._—ù I understood I was to take the blame _—”and ridicule_—”for the damage. I had to have a second (male) student, of the same or lower rank on the team, present to make sure the replacement instrument was properly used. This, I later learned, was the Dean_—Ès requirement for purchasing the replacement. For two more years I took on the reluctance of other trainees to team up with my _—“fumble-fingers._—ù It even followed me as I pursued post-doc training, as the surgical staff were reluctant to recommend me, based on this false rumor. When I went to the department chair, sweating and vomiting for days before doing so, I literally begged him to recommend me to a very inferior post-doc position. He agreed to do so, with a sense of enormous magnanimity. I literally kissed him for doing so, I was so relieved. Later I learned he had told the program chief that accepted me that I had been described as someone who could _—“take one for the team._—ù The accepting director told me later that this was conveyed in a way that implied I was willing to _—“do antything_—ù to get ahead. This made the program director think I was being passed over by better programs due to lack of skill, that I was only be promoted due to sexual favors. So when I arrived at my post-doc the reception was guarded until I could (over)prove my skills. I received what I thought were an unusual amount of sexual suggestions from my post doc faculty until the director finally told me how I had been presented to him by my former chief. During my humilating 2 years I developed an eating disorder and other self harming behaviors, I think to stop myself from blurting out my story, since to do so would have been the end of my training. At least it felt like that at the time."
male,social&humanities,R2,At a conference.
male,social&humanities,Elite Institution/Ivy League,"Professor made inappropriate comments of romantic and sexual nature to undergraduate, telling about his failing marriage; same person known for hitting on graduate students at conferences"
male,social&humanities,"More Than One Institution (feel free to elaborate in ""Comments"")",Prof. hired me as a research assistant and harassed me for years. 
male,NotAvailable,Regional Teaching College,Several students came to me and told me about a professor who groped them and had inappropriate sexual relations with one student. 
male,social&humanities,Small Liberal Arts College,Regular sexual comments and innuendo about myself and others
male,social&humanities,Elite Institution/Ivy League,"Engineering, 4th year undergraduate. I went to see a professor for career guidance. Door was shut. I sat on a chair near his desk. After 10 mins he moved his rolling chair over next to mine. He grabbed my head & kissed me on the mouth forcefully. I was so shocked, it took a minute for me to work out I needed to leave."
male,applied&formal,Elite Institution/Ivy League,"In mid 2000s, I got invited to the on-campus apartment of a professor with the promise of meeting two huge scientists in my field (all male, of course). Professor was drugged and drunk and proceeded to grope me right in front of the senior scientists that I was trying to talk research with. They more or less ignored me and pretended not to notice the groping. When I extracted myself from that professor (and he fell asleep on the couch), the other scientists decided to leave but insisted I should stay ... which I didn't.The professor started calling me later that night, insisting I needed to come back because he ""needed me there"". Next day he left roses on my desk with a note ""Sorry"" ... written on the back of a page of my research notes. It took that level of disrespect for my space and research work to notice that the whole thing had been inappropriate all along.I talked to the only somewhat senior female scientist I knew at that time - who advised me to never, ever, mention this incident to anyone."
male,social&humanities,"More Than One Institution (feel free to elaborate in ""Comments"")",He sat silently behind me in my lab after regular work hours when I was alone on the floor twice. He whistled at me every time he saw me walking in the hall.
male,social&humanities,Other R1,"When I was a PhD candidate, I was invited back to a hotel room during a party at a field station by a professor from another university who was planning collaborations with my adviser (and someone who for a brief period I thought might be a future post-doc adviser). I said no thank you, he persisted, and after the third effort to talk me into it despite stating repeatedly that I was happily married, I finally got up, said good night and left the party. I told my adviser about the incident the next day and expressed disinterest in working on any future collaborations. When we got back to the university, he required me to spend lab time on a collaborative project (that took time away from finishing my own work) with this person, despite what I had told him. I was not entirely surprised by this response, sadly, since my adviser also made multiple comments implying I was fat and should take up running during my time in his lab as well."
male,social&humanities,Other R1,"I was chairing a meeting on ensuring diversity in our graduate admission, and one (quite senior) colleague demanded I had to clarify what I meant by ""contributions to climate"" (as selection criterion), but didn't really let me speak and just started to berate me along the lines of ""if you say we have a climate problem then .. because I've been here forever .. you're accusing me of rape .. how dare you .. the climate problem are you"". I kept trying to de-escalate the situation and promised him a clarifying meeting with department leadership (on the committee task which he kept questioning), but he kept berating me with ""you are the problem"", ""how dare you cut me off"", ""you are the harasser"", on and on. The other 5 faculty (all but one tenured) at best pretended to not notice and not hear my requests for other input/questions ... at worst kept giving the word back to the harasser to ""voice his concerns"".At some point the co-chair even denied the facts (of how he had run the committee previously) when those came under attack of the harasser, and started siding with the harasser's critique of my decision to limit the discussion to the logistics until after we could clarify the committee task with the department chair. "
male,NotAvailable,Small Liberal Arts College,"The person doing the language checking of my ms left inappropriate comments in the margin - which I of course had to read, since they could not be differentiated from the valid comments except by reading them."
male,NotAvailable,Other R1,An instructor in a social sciences department approached me in the break room and asked me to touch his neck. 
male,applied&formal,Elite Institution/Ivy League,He walked around behind my chair and picked up my hair and held it; this was one example of many instances of (what I perceived at the time to be) low level unpleasant contact. I later discovered that he had actually threatened other students with failure/expulsion if they didn't agree to sex.
male,applied&formal,Elite Institution/Ivy League,A female student and I were harassed by fraternity students during a break from their evening study hall.
male,NotAvailable,Other R1,"Undergraduate professor (44 yo) made sexual advances toward his female mentees. He pressured me into a sexual/romantic relationship when I was 21. He was still writing letters of recommendation for me (I went to grad school), but pressured me to drop out of school and marry him. He insulted me and told me that other professors saw me as a prostitute, and he showed me a gun once. He went on to marry another student. "
male,natural,Other R1,"I was repeatedly sexually harassed by a colleague. He would call me into his cubicle and turn his computer around to reveal porn, continuously enter my personal space and make inappropriate comments."
male,applied&formal,Elite Institution/Ivy League,"I was in my first year of teaching post-PhD, as an adjunct. A student began stalking me; following me around campus (which included having to walk through a wooded area to get from my office to classrooms), waiting at my office door after my last class of the day, when the hallways were pretty deserted, tried to follow me home once but I managed to shake him, coming to office hours and sitting there staring at me, not speaking."
male,social&humanities,Elite Institution/Ivy League,"While doing fieldwork for my dissertation, sexual harassment was pervasive and extensive, from local employees trying to convince me to sleep with them, asking inappropriate questions, and groping me; to colleagues commenting on my breasts, sharing conversations about my body they had with local employees, and persistently making sexual innuendos; to my supervisor promising the employees he'd send only pretty students to that place to conduct fieldwork. When I had a conflict with another female student, it was generally assumed to be because we were sleeping with the same employee (... we were not, and it was not). My supervisor asked me if a mutual friend, who was an artist, ""painted me like one of his French girls."""
male,social&humanities,Other R1,"Every single male professor when I was in grad school had been or was currently sexually involved with a student. Some professors dated undergrads, some dated grads. Personal incident while in grad school: I was wearing a shirt that showed some cleavage. Professor sees me in the hallway and stares at my chest and he tells me I must come and give him a hug (hugs are not uncommon in my field of dance, but that encounter was definitely not okay)"
male,social&humanities,Elite Institution/Ivy League,"In a methods seminar my first semester, he relentlessly and obviously undressed me with his eyes. The stares were too long, and noticed by other people. "
male,social&humanities,R2,"I was a participant in a year-long Leadership Group, sponsored by the University. We were selected by Administration as being promising future admin leaders, and we regularly met to share difficulties and challenges in our leadership roles. It was supposed to be ""cone of silence"" discussions. In the last meeting of the year, one of our two university sponsored and paid ""Coaches"" or Mentors, (after I said I was worried about being pressured into being Chair) stated in front of the group that all I really needed, in terms of support, was ""duct tape and valium."""
male,NotAvailable,Other R1,"When I started as a grad student in the PhD program at a Big 10 university, one of the male professors in my department was generally known to sexually harass female colleagues and students. Everyone in the department seemed to know this, and faculty members would warn new female grad students to stay away from him. The department tacitly acknowledge the problem by only assigning him male grad students as TAs. Two female tenure-track professors told me (separately) that they had official letters in their personnel files guaranteeing that the professor could not vote on their retention, promotion, or tenure applications because he had sexually harassed them. In 2000, the professor was promoted to an associate provost position at the same university with a substantial pay boost - many faculty members speculated the reason was to remove him further from contact with students. Since then, the sexually harassing professor has been dean at another large state university in the Midwest and provost at a large state university in the Pacific Northwest. After just 7 weeks as provost, he apparently got into a fistfight with a colleague in a school hallway. He was then demoted back to tenured professor, so he is now back to teaching undergraduates. Due to the terms of his contract, he still earns 90% of his salary as provost, about a quarter of a million dollars a year."
male,social&humanities,R2,"In 1996 I was in a master's program at a large state university in the San Francisco Bay Area. The professor whose classes I was TA for - who graduated with his BA the year I was born - asked me to go to a movie with him, clearly meaning ""on a date."" I had to tell him no, I wasn't interested, several times before he accepted it. Fortunately I never had to take a class from him. "
male,social&humanities,Other R1,"A series of emails - mostly links to music videos, with suggestive ""interpretive aids."" He was my boyfriend's professor and I told my boyfriend it made me uncomfortable. My boyfriend spoke with him and then came back to me and told me he had said it was just a joke."
male,social&humanities,Other R1,"On the day of his oral examination defense, shortly after completing it, one of my graduate students (who happens to be about 20 years older than I and a head taller) grabbed my hand, planted a minutes-long kiss on the back of it, and held it to his cheek all while I was trying to pull it back. He looked into my eyes and would not let me go despite my stunned attempts to withdraw. When he finally did let go he said ""Give me a call sometime. Make an old man happy."""
male,social&humanities,Other R1,"A guest professor sent a dirty poem he had written to numerous female scholars at my institution (both grad and faculty) - not to me. One of the graduate students was horrified and told me about it. My institution has obligatory harassment reporting, so I passed it on to an ombudsperson, along with the email which the grad student had forwarded to me. The institution launched an investigation, which angered the faculty (who said it was just his sense of humor) and the chair of the program hosting him called all of the grad students together to talk to them about it. They revealed that I was the person who had reported it. The institution responded to the whole mess by making everyone in that program go through mandatory harassment training the following year - but since the harasser was a guest professor he did not go through it. He returned to campus AGAIN the following year and someone had told him that I was the person who reported it. He cornered me in the stacks of the library and asked for my forgiveness, weeping outright about how ""forgiveness is such a beautiful thing"" and (irrelevantly) telling me all about how his father was a cruel man who had interrogated Nazis. I reported this incident, as well, HE went through the harassment training and after he left campus that semester, one of the deans assured me he would never be coming back."
male,social&humanities,Elite Institution/Ivy League,"While a graduate student I was invited to an after hours worksession with a mentor. After completing that evening's goals she offered me a beer and I accepted. She stepped out of the study and instead of returning with a drink she walked in completely nude. She asked my what I though and asked me to give her a ""Dutch Rudder"" she forced me to manipulate her forearm while she was gripping her erect penis. After completion I stepped out of the the study to clean up and snuck out the door. Every meeting after was awkward and nothing was ever mentioned. I have share the experience privatly with a few members of the institution without much support. "
male,social&humanities,Other R1,"Unwanted sexual advances, persistent inappropriate emails, repeated attempts to ask me out/ask me about my love life."
male,NotAvailable,Elite Institution/Ivy League,"1989. The professor, who was directing my senior thesis, called me into his office and told me stories of his friends sexual exploits, told me I was _—“pure_—ù and _—“sensitive,_—ù showed up at my apartment with a case of beer, reminded me that he was grading my senior thesis, workshopped my story when I wasn_—Èt present in workshop, told me that when he arrived he received a _—“list_—ù of students to pay attention to and that I was on this list, had a poster for Playboy_—Ès fiction contest on his door and pointed to it suggestively and said, _—“You should submit._—ù A lot of other flirtatious passive-aggressive stuff happened that I no longer remember. He was very confident in his _—“mentoring_—ù of me."
male,NotAvailable,Regional Teaching College,"Too many times from too many different people to list here. But the most egregious was when my advisor grabbed my hand, placed it on his penis, and said he wanted to ""fuck my brains out."""
male,social&humanities,Elite Institution/Ivy League,One student harassed another and then blackmailed him. Both were gay males
male,social&humanities,Regional Teaching College,"A trusted mentor/professor came on to me when we were in his car after our weekly lunch meeting. He told me that he had had feelings for me since my first semester in college (when I was 17, by the way). I was doing an independent study with him over the summer and had to continue meeting one-on-one with him, or else I would not have graduated on time.Leading up to the incident in his car there had been rumors about him being involved with a student who was older than me, but I had ignored those rumors. I now assume there was some truth to them, at least on his part. I found out years later that, after I had graduated, he kissed another (third) student against her will."
male,social&humanities,Other R1,"Students told me that a professor went on an extended rant about the threat of homosexuality in their Bible as Literature course, telling students (including LGBTQ students) that they would feel differently about the issue when they had to keep their children from ""turning gay."" He had previously made insulting comments about how disgusting fat women are. It emerged that this same professor had been so irritated by the proposal of a program in Women's and Gender Studies years early that he had put together a satirical proposal for a ""Fat People Studies"" and submitted it to the university. Note that he did not intend this as a genuine contribution to the field of what we now call Fat Studies. He made it clear that it was meant to be an *equally ridiculous* proposal to the one moving forward as WGS. When other senior faculty were asked about these incidents, they replied, morosely, that this is just the way this professor is. "
